model,image,latency_seconds
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000000.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000001.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000002.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000003.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000004.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000005.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000006.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000007.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000008.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000009.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000010.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000011.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000012.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000013.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000014.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000015.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000016.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000017.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000018.jpg,0.649462
